Threshold,Precision,Recall,AUROC,Accuracy,MC
0.46,0.9530844740514552,0.9025937689050211,0.9252968844525103,0.9237171166493596,0.8493326888222882
0.46163265306122453,0.9534887810477433,0.9017316999395039,0.9251158499697518,0.9234856351678781,0.8489604295968936
0.463265306122449,0.9539180739770363,0.9013006654567451,0.9251503327283724,0.9234877985462098,0.849047723139534
0.4648979591836735,0.9547350701360136,0.9004310344827585,0.9252155172413791,0.9234877985462098,0.8491634907521536
0.466530612244898,0.9551308889398513,0.8999999999999999,0.9252499999999998,0.9234877985462098,0.849232827674015
0.46816326530612246,0.9563885396941505,0.8991228070175437,0.9255614035087717,0.9237171166493596,0.8498501236952452
0.46979591836734697,0.9568123422561109,0.8986917725347852,0.9255958862673924,0.9237171166493596,0.8499054289563525
0.4714285714285715,0.9572253137186107,0.8982607380520264,0.9256303690260131,0.9237192800276912,0.8499717497485149
0.47306122448979593,0.9571825908928691,0.8973911070780398,0.9251955535390198,0.9232541536863967,0.8491003792263129
0.47469387755102044,0.9593862622215403,0.8960904416212945,0.9257952208106471,0.9237236067843546,0.8503293022756279
0.47632653061224495,0.9597901979084948,0.895659407138536,0.9258297035692679,0.9237257701626862,0.850394519589741
0.4779591836734694,0.9609928806206115,0.893927707199032,0.925713853599516,0.9234964520595362,0.8501424219047631
0.4795918367346939,0.9609928806206115,0.893927707199032,0.925713853599516,0.9234964520595362,0.8501424219047631
0.48122448979591836,0.9609817990603278,0.8934891107078039,0.925494555353902,0.9232628071997232,0.8497443846579393
0.4828571428571429,0.9614110919896207,0.8930580762250453,0.9255290381125227,0.9232649705780548,0.8498021563477909
0.4844897959183674,0.9618403849189137,0.8930580762250453,0.9257790381125226,0.9234964520595363,0.8502973648539776
0.48612244897959184,0.9622858775813875,0.8930580762250453,0.9260290381125227,0.9237300969193494,0.8507963155348777
0.48775510204081635,0.9627067530022629,0.8930580762250453,0.9262790381125228,0.9239615784008308,0.8512916832858457
0.48938775510204086,0.9643677240874025,0.8904416212946158,0.9259708106473079,0.9234942886812045,0.8506493619689772
0.4910204081632653,0.9648135160662135,0.8900030248033879,0.9260015124016938,0.923492125302873,0.8507136719496132
0.4926530612244898,0.9675064932234467,0.8900030248033879,0.9275015124016939,0.9248831775700934,0.8537379142685718
0.49428571428571433,0.9684320634192722,0.8900030248033879,0.9280015124016938,0.9253504672897196,0.8547509654376849
0.4959183673469388,0.9689222594977036,0.8900030248033879,0.9282515124016939,0.925581948771201,0.8552763267873907
0.4975510204081633,0.9689128326500416,0.8895644283121598,0.9280322141560797,0.925348303911388,0.8548534731242009
0.4991836734693878,0.9689128326500416,0.8895644283121598,0.9280322141560797,0.925348303911388,0.8548534731242009
0.5008163265306123,0.9715276581653489,0.8852238354506957,0.9273619177253477,0.9244158878504674,0.8536057948143314
0.5024489795918368,0.9715276581653489,0.8852238354506957,0.9273619177253477,0.9244158878504674,0.8536057948143314
0.5040816326530613,0.9719454397947209,0.884354204476709,0.9271771022383545,0.9241822429906543,0.8532706776832415
0.5057142857142858,0.9724262090254903,0.884354204476709,0.9274271022383546,0.9244137244721358,0.853788504322865
0.5073469387755102,0.9724262090254903,0.8834845735027224,0.9269922867513611,0.9239485981308413,0.8530052514848905
0.5089795918367347,0.9742350020842832,0.8821763460375076,0.9273381730187538,0.9241844063689859,0.8537518909786765
0.5106122448979592,0.9751347225594753,0.881745311554749,0.9276226557773745,0.9244180512287989,0.8543347518772029
0.5122448979591837,0.9760246802196884,0.8813067150635209,0.9279033575317605,0.9246495327102804,0.8549205338474518
0.5138775510204082,0.9769485957028923,0.8804370840895341,0.9279685420447671,0.9246495327102804,0.8551471042645364
0.5155102040816327,0.9769206495462002,0.879559891107078,0.927529945553539,0.9241822429906543,0.854300655378559
0.5171428571428571,0.9778636900425148,0.8791288566243194,0.9278144283121598,0.9244158878504674,0.8549065694302276
0.5187755102040816,0.9792461420132021,0.8791288566243194,0.9285644283121598,0.9251124956732433,0.8564268338575428
0.5204081632653061,0.9797410396325656,0.8782592256503327,0.9283796128251663,0.9248810141917618,0.8561441009928401
0.5220408163265307,0.9802410396325656,0.8782592256503327,0.9286296128251664,0.9251146590515749,0.8566743277701833
0.5236734693877552,0.9801919379033635,0.8773895946763459,0.9281947973381731,0.9246495327102803,0.8557923481780264
0.5253061224489797,0.9801919379033635,0.8769585601935874,0.9279792800967938,0.9244180512287988,0.8553877966771473
0.5269387755102041,0.9806915127332954,0.8769585601935874,0.9282292800967938,0.924651696088612,0.85592403058893
0.5285714285714286,0.9811453848159133,0.8765199637023593,0.9282599818511797,0.924651696088612,0.8560004550412655
0.5302040816326531,0.9815746777452062,0.8765199637023593,0.9285099818511796,0.9248853409484251,0.856492300084785
0.5318367346938776,0.9820120705410895,0.8756578947368421,0.9283289473684211,0.9246538594669436,0.8561629034139909
0.5334693877551021,0.9833387059831189,0.8734800362976406,0.9279900181488203,0.9241844063689857,0.8556077804107225
0.5351020408163265,0.9833296348655572,0.8721718088324258,0.9273359044162128,0.9234856351678782,0.8544061734134242
0.536734693877551,0.9833034294148235,0.8717332123411978,0.9271166061705989,0.9232519903080649,0.8539684973775469
0.5383673469387755,0.9833034294148235,0.8717332123411978,0.9271166061705989,0.9232519903080649,0.8539684973775469
0.54,0.9838034294148235,0.8717332123411978,0.927366606170599,0.923485635167878,0.85449872415489
